,location,total_sqft,bath,balcony,price,bhk
48,2nd Block Hrbr Layout,1480.0,3,2,90.0,3
49,2nd Block Hrbr Layout,1550.0,3,3,110.0,3
50,2nd Block Hrbr Layout,1050.0,6,1,74.0,4
51,2nd Block Hrbr Layout,1350.0,4,3,235.0,4
52,2nd Block Jayanagar,1718.0,3,3,223.0,3
53,2nd Block Jayanagar,4920.0,5,2,1150.0,4
54,2nd Block Jayanagar,1000.0,2,1,97.0,2
55,2nd Phase JP Nagar,2800.0,4,2,200.0,5
56,2nd Phase JP Nagar,1000.0,1,1,55.0,2
57,2nd Phase JP Nagar,1350.0,8,2,185.0,8
58,2nd Phase JP Nagar,1200.0,3,1,190.0,3
59,2nd Phase JP Nagar,1040.0,2,2,78.0,2
60,2nd Phase JP Nagar,850.0,2,1,42.5,2
61,2nd Phase Judicial Layout,1450.0,2,1,50.75,3
62,2nd Phase Judicial Layout,1150.0,2,1,40.25,2
63,2nd Phase Judicial Layout,1350.0,2,2,47.25,3
64,2nd Phase Judicial Layout,1350.0,2,2,47.25,3
65,2nd Phase Judicial Layout,900.0,2,2,41.0,2
66,2nd Phase Judicial Layout,1681.0,3,3,69.0,3
67,2nd Phase Judicial Layout,1350.0,2,2,47.25,3
68,2nd Phase Judicial Layout,1150.0,2,1,40.25,2
69,2nd Stage Arekere Mico Layout,1200.0,4,1,130.0,4
70,2nd Stage Nagarbhavi,1500.0,4,2,220.0,4
73,2nd Stage Nagarbhavi,1200.0,4,2,245.0,4
74,2nd Stage Nagarbhavi,1350.0,4,1,200.0,4
75,2nd Stage Nagarbhavi,1200.0,4,3,240.0,5
76,2nd Stage Nagarbhavi,600.0,3,1,95.0,4
77,2nd Stage Nagarbhavi,600.0,4,2,100.0,3
78,2nd Stage Nagarbhavi,1200.0,4,1,225.0,4
79,2nd Stage Nagarbhavi,600.0,4,2,125.0,4
80,2nd Stage Nagarbhavi,1200.0,4,3,240.0,5
81,2nd Stage Nagarbhavi,1200.0,4,3,240.0,5
82,2nd Stage Nagarbhavi,1200.0,4,2,240.0,5
83,2nd Stage Nagarbhavi,1200.0,4,3,240.0,5
84,2nd Stage Nagarbhavi,1500.0,3,2,230.0,4
85,2nd Stage Nagarbhavi,600.0,3,1,84.0,4
86,2nd Stage Nagarbhavi,600.0,3,2,82.0,4
88,2nd Stage Nagarbhavi,1200.0,4,2,240.0,5
89,3rd Block Banashankari,2400.0,8,2,650.0,6
90,3rd Block Banashankari,1200.0,4,1,175.0,4
91,3rd Block Banashankari,2400.0,4,1,325.0,5
92,3rd Block Hrbr Layout,1200.0,5,2,190.0,5
93,3rd Block Hrbr Layout,1056.0,2,1,80.0,2
94,3rd Block Hrbr Layout,1300.0,2,3,95.0,2
95,3rd Block Hrbr Layout,1650.0,3,2,140.0,3
96,3rd Block Jayanagar,2150.0,3,3,240.0,3
97,3rd Block Koramangala,2100.0,3,1,270.0,3
98,3rd Phase JP Nagar,4500.0,4,3,345.0,4
99,4th Block Jayanagar,900.0,2,1,70.0,2
100,4th Block Jayanagar,2005.0,3,2,240.0,3
101,4th Block Jayanagar,1567.2,2,0,190.0,3
102,4th Block Koramangala,1225.0,2,2,150.0,2
103,4th Block Koramangala,4500.0,9,2,500.0,9
104,4th Block Koramangala,1800.0,3,3,140.0,3
105,4th Block Koramangala,3400.0,6,2,420.0,4
106,4th Block Koramangala,1269.0,2,2,97.0,2
107,4th Phase JP Nagar,1070.0,2,2,38.9,2
108,4th Phase JP Nagar,1080.0,2,2,38.0,2
109,4th Phase JP Nagar,600.0,4,1,70.0,2
110,4th T block Jayanagar,2401.0,3,2,185.0,3
111,4th T block Jayanagar,3900.0,4,2,333.0,4
112,4th T block Jayanagar,1550.0,4,1,120.0,4
113,4th T block Jayanagar,2100.0,3,3,220.0,3
114,4th T block Jayanagar,2400.0,3,2,185.0,3
115,5th Block Hbr Layout,1206.0,2,2,56.0,2
116,5th Block Hbr Layout,1270.0,2,2,70.0,3
117,5th Block Hbr Layout,1200.0,6,1,220.0,5
118,5th Block Hbr Layout,1200.0,4,2,205.0,4
119,5th Block Hbr Layout,1312.0,2,3,69.0,2
120,5th Block Hbr Layout,1200.0,5,2,205.0,5
121,5th Block Hbr Layout,5100.0,5,3,300.0,6
122,5th Block Hbr Layout,1200.0,5,2,205.0,5
123,5th Block Jayanagar,1500.0,1,1,300.0,1
124,5th Phase JP Nagar,1075.0,2,2,60.0,2
125,5th Phase JP Nagar,1150.0,3,3,52.5,2
126,5th Phase JP Nagar,1070.0,2,2,39.0,2
127,5th Phase JP Nagar,1256.0,2,1,62.8,2
128,5th Phase JP Nagar,1207.0,2,2,63.0,2
129,5th Phase JP Nagar,1725.0,2,2,100.0,3
130,5th Phase JP Nagar,1440.0,2,2,60.0,2
131,5th Phase JP Nagar,1400.0,2,1,88.0,3
132,5th Phase JP Nagar,1450.0,2,1,58.0,2
133,5th Phase JP Nagar,1700.0,2,3,100.0,3
135,5th Phase JP Nagar,2500.0,5,2,110.0,5
136,5th Phase JP Nagar,600.0,1,1,30.0,1
137,5th Phase JP Nagar,1390.0,2,2,65.0,2
138,5th Phase JP Nagar,1256.0,2,1,62.8,2
139,5th Phase JP Nagar,1220.0,2,3,88.0,2
140,5th Phase JP Nagar,1000.0,2,0,48.0,2
141,5th Phase JP Nagar,1350.0,2,1,75.0,3
142,5th Phase JP Nagar,552.0,1,1,23.5,1
143,5th Phase JP Nagar,1200.0,2,2,51.0,2
147,5th Phase JP Nagar,1030.0,2,2,57.0,2
148,5th Phase JP Nagar,1200.0,2,1,68.0,2
149,5th Phase JP Nagar,1190.0,2,2,61.8,2
150,5th Phase JP Nagar,4000.0,5,2,170.0,5
151,5th Phase JP Nagar,1080.0,2,1,53.0,2
152,5th Phase JP Nagar,1041.0,2,2,54.0,2
153,5th Phase JP Nagar,812.0,2,1,42.0,2
154,5th Phase JP Nagar,1010.0,2,2,57.0,2
156,5th Phase JP Nagar,2500.0,8,3,95.0,7
157,5th Phase JP Nagar,1075.0,2,2,60.0,2
158,5th Phase JP Nagar,2400.0,4,1,228.0,4
159,5th Stage BEML Layout,2000.0,3,2,85.0,3
160,5th Stage BEML Layout,2000.0,3,2,85.0,3
161,6th Phase JP Nagar,1192.0,2,2,74.0,2
162,6th Phase JP Nagar,1180.0,2,3,80.0,2
165,6th Phase JP Nagar,1280.0,2,2,56.0,2
166,6th Phase JP Nagar,1140.0,2,2,65.0,2
167,6th Phase JP Nagar,1650.0,6,2,135.0,8
168,6th Phase JP Nagar,2040.0,3,2,200.0,3
169,6th Phase JP Nagar,1213.0,2,1,63.0,2
171,6th Phase JP Nagar,1170.0,2,2,120.0,2
172,6th Phase JP Nagar,1216.0,2,2,60.0,2
173,6th Phase JP Nagar,1460.0,2,2,80.0,2
174,6th Phase JP Nagar,2003.0,3,3,200.0,3
175,6th Phase JP Nagar,1810.0,3,3,131.0,3
176,6th Phase JP Nagar,1515.0,2,2,135.0,3
177,6th Phase JP Nagar,1192.0,2,3,75.0,2
178,6th Phase JP Nagar,1280.0,2,1,88.0,2
179,6th block Koramangala,2350.0,3,2,400.0,3
180,6th block Koramangala,1117.0,2,1,110.0,2
181,6th block Koramangala,3000.0,3,2,400.0,3
182,7th Block Jayanagar,3000.0,3,1,528.0,5
183,7th Block Jayanagar,2400.0,3,0,408.0,3
184,7th Block Jayanagar,1903.0,2,1,293.0,3
185,7th Phase JP Nagar,1080.0,2,2,72.0,2
186,7th Phase JP Nagar,1270.0,2,2,93.0,2
187,7th Phase JP Nagar,1420.0,2,1,100.0,3
188,7th Phase JP Nagar,1850.0,3,1,150.0,3
189,7th Phase JP Nagar,1245.0,2,1,94.0,2
190,7th Phase JP Nagar,1175.0,2,1,82.0,2
191,7th Phase JP Nagar,1400.0,2,1,95.0,3
192,7th Phase JP Nagar,2225.0,3,1,160.0,3
193,7th Phase JP Nagar,1050.0,2,1,71.0,2
194,7th Phase JP Nagar,1100.0,2,0,46.0,2
195,7th Phase JP Nagar,918.0,2,1,50.49,2
196,7th Phase JP Nagar,1450.0,2,1,100.0,3
197,7th Phase JP Nagar,1070.0,2,1,42.79,2
198,7th Phase JP Nagar,1190.0,2,1,49.98,2
199,7th Phase JP Nagar,1420.0,2,2,96.0,3
200,7th Phase JP Nagar,1680.0,3,2,120.0,3
201,7th Phase JP Nagar,1050.0,2,1,42.0,2
202,7th Phase JP Nagar,980.0,2,2,69.0,2
203,7th Phase JP Nagar,1035.0,2,1,41.39,2
204,7th Phase JP Nagar,1370.0,2,1,56.17,2
205,7th Phase JP Nagar,1180.0,2,2,72.0,2
206,7th Phase JP Nagar,5080.0,7,2,450.0,6
211,7th Phase JP Nagar,1400.0,3,1,115.0,3
212,7th Phase JP Nagar,1075.0,2,1,42.99,2
213,7th Phase JP Nagar,1100.0,2,2,44.0,2
214,7th Phase JP Nagar,1270.0,2,1,83.0,2
216,7th Phase JP Nagar,2503.0,4,0,188.0,4
217,7th Phase JP Nagar,2200.0,3,2,190.0,3
219,7th Phase JP Nagar,1050.0,2,1,42.0,2
221,7th Phase JP Nagar,1575.0,2,2,110.0,3
222,7th Phase JP Nagar,1850.0,3,2,140.0,3
226,7th Phase JP Nagar,1575.0,2,2,120.0,3
227,7th Phase JP Nagar,1850.0,3,2,150.0,3
228,7th Phase JP Nagar,1680.0,3,2,120.0,3
229,7th Phase JP Nagar,1175.0,2,2,82.5,2
232,7th Phase JP Nagar,1215.0,2,2,90.0,2
233,7th Phase JP Nagar,1050.0,2,1,75.0,2
234,7th Phase JP Nagar,1300.0,3,2,89.13,3
235,7th Phase JP Nagar,1130.0,2,2,73.0,2
236,7th Phase JP Nagar,1450.0,3,2,100.0,3
238,7th Phase JP Nagar,1050.0,2,1,50.0,2
239,7th Phase JP Nagar,1275.0,2,1,87.0,2
241,7th Phase JP Nagar,1650.0,3,2,110.0,3
242,7th Phase JP Nagar,850.0,2,2,42.0,2
243,7th Phase JP Nagar,1680.0,3,2,117.0,3
244,7th Phase JP Nagar,1850.0,3,1,150.0,3
245,7th Phase JP Nagar,1236.0,2,2,61.33,2
246,7th Phase JP Nagar,1000.0,2,2,53.0,2
247,7th Phase JP Nagar,1680.0,3,2,125.0,3
248,7th Phase JP Nagar,1675.0,2,2,135.0,3
249,7th Phase JP Nagar,1187.0,2,1,59.0,2
250,7th Phase JP Nagar,1850.0,3,2,155.0,3
251,7th Phase JP Nagar,1000.0,2,1,61.0,2
252,7th Phase JP Nagar,1460.0,2,2,100.0,3
253,7th Phase JP Nagar,1650.0,3,3,110.0,3
254,7th Phase JP Nagar,1200.0,2,2,62.5,2
255,7th Phase JP Nagar,1000.0,2,1,70.65,2
256,7th Phase JP Nagar,1070.0,2,2,42.0,2
257,7th Phase JP Nagar,1080.0,2,2,75.0,2
259,7th Phase JP Nagar,1680.0,3,3,125.0,3
260,7th Phase JP Nagar,1040.0,2,1,41.59,2
261,7th Phase JP Nagar,1100.0,2,1,44.0,2
262,7th Phase JP Nagar,1460.0,2,1,97.0,3
263,7th Phase JP Nagar,1120.0,2,2,65.0,2
264,7th Phase JP Nagar,1100.0,3,1,60.0,2
265,7th Phase JP Nagar,1790.0,3,3,120.0,3
266,7th Phase JP Nagar,1680.0,3,2,117.0,3
267,7th Phase JP Nagar,1050.0,2,1,77.0,2
268,7th Phase JP Nagar,1174.0,2,1,47.0,2
269,7th Phase JP Nagar,1050.0,2,1,75.0,2
270,7th Phase JP Nagar,1040.0,2,1,75.0,2
271,7th Phase JP Nagar,1400.0,2,1,95.0,3
272,7th Phase JP Nagar,1800.0,3,2,130.0,3
273,7th Phase JP Nagar,1050.0,2,0,68.0,2
275,7th Phase JP Nagar,1000.0,2,2,60.0,2
276,7th Phase JP Nagar,1680.0,3,2,125.0,3
277,7th Phase JP Nagar,980.0,2,1,86.0,2
279,7th Phase JP Nagar,1050.0,2,1,77.47,2
280,7th Phase JP Nagar,1270.0,2,1,80.0,2
282,7th Phase JP Nagar,1680.0,3,2,122.0,3
283,7th Phase JP Nagar,1070.0,2,1,42.79,2
284,7th Phase JP Nagar,1130.0,2,2,85.0,2
285,7th Phase JP Nagar,1680.0,3,3,130.0,3
287,7th Phase JP Nagar,2980.0,4,2,260.0,3
288,7th Phase JP Nagar,980.0,2,1,77.44,2
289,7th Phase JP Nagar,1680.0,3,2,112.0,3
291,7th Phase JP Nagar,2095.0,3,2,150.0,3
293,7th Phase JP Nagar,1976.0,3,1,145.0,3
294,7th Phase JP Nagar,1600.0,2,2,110.0,3
295,7th Phase JP Nagar,1765.0,3,2,118.0,3
296,7th Phase JP Nagar,1275.0,2,2,88.0,3
297,7th Phase JP Nagar,1450.0,2,1,102.0,3
298,7th Phase JP Nagar,1575.0,2,2,110.0,3
300,7th Phase JP Nagar,750.0,1,2,47.0,1
301,7th Phase JP Nagar,1050.0,2,1,42.0,2
302,7th Phase JP Nagar,990.0,2,2,50.0,2
303,7th Phase JP Nagar,1000.0,1,1,60.0,1
305,7th Phase JP Nagar,1100.0,2,1,44.0,2
306,7th Phase JP Nagar,1430.0,2,1,102.0,3
307,7th Phase JP Nagar,1128.0,2,1,60.0,2
308,7th Phase JP Nagar,2100.0,3,2,190.0,3
309,7th Phase JP Nagar,1140.0,2,1,57.0,2
310,7th Phase JP Nagar,1420.0,3,2,90.0,3
311,7th Phase JP Nagar,1530.0,2,1,108.0,2
312,8th Block Jayanagar,2000.0,6,3,300.0,6
313,8th Block Jayanagar,1500.0,6,1,300.0,6
314,8th Phase JP Nagar,1073.5,2,0,54.005,2
315,8th Phase JP Nagar,451.0,1,0,29.9,1
317,8th Phase JP Nagar,1062.0,2,1,42.47,2
319,8th Phase JP Nagar,1455.0,3,2,73.31,3
320,8th Phase JP Nagar,871.0,2,2,55.0,2
321,8th Phase JP Nagar,1098.0,2,1,43.91,2
322,8th Phase JP Nagar,1800.0,3,1,80.0,3
323,8th Phase JP Nagar,2700.0,4,2,130.0,4
324,8th Phase JP Nagar,1080.0,2,2,38.0,2
325,8th Phase JP Nagar,1059.0,2,2,34.5,2
326,8th Phase JP Nagar,1080.0,2,2,35.0,2
328,8th Phase JP Nagar,1062.0,2,1,42.47,2
329,8th Phase JP Nagar,500.0,1,1,31.0,1
330,8th Phase JP Nagar,1100.0,2,2,35.0,2
331,8th Phase JP Nagar,2100.0,4,3,92.0,4
332,8th Phase JP Nagar,1035.0,2,1,39.33,2
333,8th Phase JP Nagar,909.0,2,1,40.9,2
334,8th Phase JP Nagar,1431.5,3,0,72.02,3
335,8th Phase JP Nagar,1900.0,4,1,90.0,3
336,8th Phase JP Nagar,500.0,1,1,30.0,1
337,8th Phase JP Nagar,1125.0,2,2,36.94,2
338,8th Phase JP Nagar,1200.0,3,2,110.0,4
339,8th Phase JP Nagar,1100.0,2,3,35.0,2
340,8th Phase JP Nagar,1089.0,2,1,43.55,2
342,8th Phase JP Nagar,1504.0,2,2,83.0,3
343,8th Phase JP Nagar,2600.0,4,2,115.0,4
345,8th Phase JP Nagar,1089.0,2,1,43.55,2
347,8th Phase JP Nagar,1513.0,2,3,62.0,2
348,8th Phase JP Nagar,1298.0,2,1,59.0,2
349,8th Phase JP Nagar,1006.0,2,0,44.0,2
350,8th Phase JP Nagar,500.0,1,1,33.0,1
351,8th Phase JP Nagar,1160.0,2,1,95.0,2
352,8th Phase JP Nagar,1245.0,2,1,59.0,2
353,8th Phase JP Nagar,1510.0,2,3,80.0,2
354,8th Phase JP Nagar,3300.0,3,2,165.0,3
355,8th Phase JP Nagar,1730.0,5,2,75.0,5
358,8th Phase JP Nagar,1046.0,2,1,48.0,2
360,8th Phase JP Nagar,1408.0,3,2,80.0,3
362,8th block Koramangala,1846.0,3,2,300.0,3
363,8th block Koramangala,1410.0,1,0,233.0,2
364,8th block Koramangala,1165.0,2,1,135.0,2
365,8th block Koramangala,2400.0,3,2,290.0,3
366,8th block Koramangala,600.0,2,1,85.0,3
367,9th Block Jayanagar,700.0,1,0,150.0,1
368,9th Block Jayanagar,1200.0,8,3,270.0,9
369,9th Block Jayanagar,1000.0,5,2,200.0,4
370,9th Phase JP Nagar,1005.0,2,1,50.0,2
372,9th Phase JP Nagar,1100.0,2,1,65.0,2
373,9th Phase JP Nagar,1080.0,2,2,37.0,2
374,9th Phase JP Nagar,1035.0,2,1,45.0,2
375,9th Phase JP Nagar,5000.0,4,3,290.0,4
376,9th Phase JP Nagar,1164.0,2,1,56.0,2
377,9th Phase JP Nagar,1005.0,2,1,42.0,2
378,9th Phase JP Nagar,3500.0,4,2,300.0,4
379,9th Phase JP Nagar,1127.0,2,1,50.0,2
380,9th Phase JP Nagar,1005.0,2,1,43.0,2
381,9th Phase JP Nagar,835.0,2,0,37.0,2
382,9th Phase JP Nagar,1050.0,2,2,39.0,2
383,9th Phase JP Nagar,660.0,2,0,27.0,2
384,9th Phase JP Nagar,600.0,1,0,20.0,1
385,9th Phase JP Nagar,1466.0,2,2,71.0,2
386,9th Phase JP Nagar,1890.0,2,2,93.0,3
387,9th Phase JP Nagar,1079.0,2,1,60.0,2
388,9th Phase JP Nagar,1480.0,2,1,80.0,2
389,9th Phase JP Nagar,1200.0,2,0,80.0,2
390,9th Phase JP Nagar,905.0,2,1,32.0,2
391,9th Phase JP Nagar,1073.0,2,1,52.36,2
392,9th Phase JP Nagar,1719.3,2,2,88.0,3
393,9th Phase JP Nagar,1780.0,3,2,88.0,3
395,9th Phase JP Nagar,1522.0,3,2,90.0,3
398,9th Phase JP Nagar,890.0,2,2,45.0,2
400,9th Phase JP Nagar,5000.0,4,2,300.0,4
402,9th Phase JP Nagar,1050.0,2,2,35.0,2
403,9th Phase JP Nagar,1331.95,2,2,69.0,2
404,A Narayanapura,1150.0,3,1,110.0,4
405,A Narayanapura,1150.0,4,1,110.0,4
406,A Narayanapura,600.0,2,1,35.0,1
407,A Narayanapura,1500.0,2,0,85.0,1
408,AECS Layout,1100.0,2,3,45.0,2
409,AECS Layout,1028.0,2,1,42.0,2
410,AECS Layout,1199.0,2,2,65.0,2
411,AECS Layout,1080.0,2,2,55.0,2
412,AECS Layout,1123.0,2,2,64.0,2
413,AECS Layout,1308.0,2,1,60.0,2
414,AECS Layout,1005.0,2,1,55.0,2
416,AGS Layout,1450.0,2,2,85.0,3
417,AGS Layout,1040.0,2,1,46.79,2
418,AGS Layout,1936.0,3,0,110.0,3
419,AGS Layout,1075.0,2,1,48.38,2
420,AMS Layout,1650.0,2,2,80.0,3
421,AMS Layout,1200.0,4,2,80.0,3
422,Abbaiah Reddy Layout,1310.0,2,3,50.0,3
423,Abbaiah Reddy Layout,1100.0,2,1,38.45,2
424,Abbaiah Reddy Layout,1100.0,2,1,38.49,2
425,Abbaiah Reddy Layout,1190.0,2,2,41.0,2
426,Abbaiah Reddy Layout,1100.0,2,2,38.5,2
427,Abbigere,985.0,2,1,40.39,2
428,Abbigere,2200.0,6,2,68.0,6
429,Abbigere,765.0,2,2,30.0,1
430,Abbigere,880.0,2,1,35.0,2
431,Abbigere,795.0,2,1,32.54,2
432,Abbigere,1005.0,2,1,39.59,2
433,Abbigere,734.0,1,0,19.82,1
435,Abbigere,1020.0,2,1,41.82,2
436,Abbigere,985.0,2,1,40.39,2
437,Abbigere,2500.0,6,0,81.0,6
438,Abbigere,795.0,2,1,32.54,2
439,Abbigere,1130.0,2,1,46.33,2
440,Abbigere,795.0,1,1,32.6,2
441,Abbigere,3000.0,8,0,150.0,8
442,Abbigere,985.0,2,1,38.92,2
443,Abbigere,1000.0,2,1,41.0,2
444,Abbigere,995.0,2,1,40.8,2
445,Abbigere,1020.0,2,1,40.8,2
446,Adityanagar,1260.0,1,0,41.0,1
447,Adityanagar,1260.0,1,1,41.0,1
448,Agrahara Dasarahalli,800.0,1,0,72.0,1
449,Agrahara Dasarahalli,1350.0,1,0,120.0,3
450,Aishwarya Crystal Layout,2250.0,3,1,113.0,3
451,Aishwarya Crystal Layout,1053.0,2,0,51.0,2
452,Akshaya Nagar,1388.0,2,3,57.0,2
453,Akshaya Nagar,1070.0,2,1,54.0,2
454,Akshaya Nagar,1280.0,2,2,58.0,2
455,Akshaya Nagar,1662.0,3,3,85.1,3
456,Akshaya Nagar,1897.0,3,2,120.0,3
457,Akshaya Nagar,1410.0,2,2,75.0,3
458,Akshaya Nagar,1360.0,2,2,85.0,3
460,Akshaya Nagar,1410.0,2,2,80.0,3
461,Akshaya Nagar,1662.0,3,2,85.0,3
462,Akshaya Nagar,1080.0,4,1,75.0,4
463,Akshaya Nagar,1662.0,3,2,85.5,3
464,Akshaya Nagar,1280.0,2,1,60.0,2
465,Akshaya Nagar,1666.0,3,2,95.0,3
466,Akshaya Nagar,1575.0,3,2,90.0,3
467,Akshaya Nagar,1430.0,2,2,75.0,3
468,Akshaya Nagar,1419.0,2,3,73.0,3
469,Akshaya Nagar,1280.0,2,1,60.0,2
470,Akshaya Nagar,1200.0,2,1,50.0,2
471,Akshaya Nagar,1092.0,2,1,60.0,2
472,Akshaya Nagar,1690.0,3,2,85.0,3
474,Akshaya Nagar,1897.0,4,2,93.0,3
475,Akshaya Nagar,1884.0,3,3,98.0,3
476,Akshaya Nagar,1314.0,2,2,68.8,2
477,Akshaya Nagar,1690.0,3,2,85.0,3
478,Akshaya Nagar,1265.0,2,3,67.0,2
479,Akshaya Nagar,1126.0,2,1,55.0,2
481,Akshaya Nagar,1662.0,3,2,90.0,3
482,Akshaya Nagar,1420.0,2,2,75.0,3
483,Akshaya Nagar,1412.0,2,3,88.0,3
484,Akshaya Nagar,1434.0,3,3,84.0,3
485,Akshaya Nagar,1890.0,4,2,100.0,3
487,Akshaya Nagar,1419.0,2,3,87.0,3
488,Akshaya Nagar,1300.0,2,1,54.0,2
489,Akshaya Nagar,1690.0,3,2,85.0,3
490,Akshaya Nagar,1113.0,2,1,52.0,2
491,Akshaya Nagar,1820.0,4,2,95.0,3
492,Akshaya Nagar,1100.0,2,2,48.0,2
493,Akshaya Nagar,1896.0,3,2,102.0,3
494,Akshaya Nagar,1300.0,2,2,66.0,2
495,Akshaya Nagar,1225.0,2,0,68.0,2
496,Akshaya Nagar,1179.0,2,1,51.0,2
497,Akshaya Nagar,1421.0,2,2,73.0,3
498,Akshaya Nagar,1893.0,4,2,95.0,3
499,Akshaya Nagar,900.0,2,1,45.0,2
500,Akshaya Vana,4000.0,4,3,170.0,4
501,Akshaya Vana,1300.0,2,1,49.0,3
502,Akshaya Vana,1280.0,2,2,49.0,3
503,Akshaya Vana,1141.0,2,1,55.0,2
504,Akshaya Vana,1260.0,2,1,49.0,3
505,Akshaya Vana,1427.0,2,2,52.0,2
506,Akshayanagara East,1693.0,3,2,108.0,3
507,Akshayanagara East,1210.0,2,1,76.0,2
508,Akshayanagara East,1519.0,3,2,67.23,3
509,Akshayanagara East,1595.0,3,2,70.39,3
510,Akshayanagara East,1230.0,2,1,50.0,2
511,Akshayanagara East,595.0,1,1,40.0,1
512,Akshayanagara East,1145.0,2,2,44.0,2
513,Akshya Nagar,2400.0,6,0,130.0,6
514,Akshya Nagar,1380.0,2,1,75.0,2
515,Akshya Nagar,1320.0,2,1,58.0,3
516,Alfa Garden Layout,1240.0,2,2,43.79,2
517,Alfa Garden Layout,1050.0,2,2,38.0,2
518,Alfa Garden Layout,1190.0,2,2,46.41,2
519,Alur,530.0,1,1,20.0,1
520,Alur,425.0,1,1,15.0,1
521,Amarjyothi Colony,1355.0,3,1,61.0,3
522,Ambalipura,1105.0,2,1,75.0,2
523,Ambalipura,1800.0,3,3,110.0,3
524,Ambalipura,1150.0,2,2,80.0,2
525,Ambalipura,1250.0,2,2,66.25,2
526,Ambalipura,1332.0,2,1,79.0,2
527,Ambalipura,1730.0,3,1,120.0,3
529,Ambalipura,1230.0,2,2,66.25,2
530,Ambalipura,1351.0,2,1,77.0,2
534,Ambalipura,1303.0,2,2,80.0,2
535,Ambalipura,1607.0,2,2,112.0,3
536,Ambalipura,770.0,1,2,43.82,1
537,Ambalipura,1700.0,2,2,76.0,2
538,Ambalipura,1060.0,2,1,58.5,2
539,Ambalipura,1650.0,3,3,100.0,3
540,Ambalipura,1607.0,2,2,112.0,3
541,Ambalipura,1198.0,2,2,80.0,2
542,Ambedkar Colony,1468.0,2,1,140.0,2
543,Ambedkar Colony,1463.0,1,1,142.0,2
544,Ambedkar Colony,1910.0,3,1,190.0,3
545,Ambedkar Colony,1464.0,2,1,145.0,2
546,Ambedkar Nagar,1935.0,4,2,130.0,3
547,Ambedkar Nagar,1424.0,2,2,90.0,2
548,Ambedkar Nagar,2225.0,4,2,169.0,3
549,Ambedkar Nagar,1862.0,3,2,120.0,3
550,Ambedkar Nagar,1850.0,4,3,139.0,3
551,Ambedkar Nagar,1936.0,4,2,126.0,3
552,Ambedkar Nagar,1862.0,3,2,119.0,3
553,Ambedkar Nagar,1424.0,2,2,90.0,2
554,Ambedkar Nagar,2150.0,4,2,125.0,3
555,Ambedkar Nagar,3530.0,4,2,290.0,4
556,Ambedkar Nagar,1856.0,3,1,120.0,3
557,Ambedkar Nagar,1852.0,3,2,130.0,3
558,Ambedkar Nagar,1850.0,4,2,120.0,3
559,Ambedkar Nagar,1367.0,2,2,86.0,2
560,Ambedkar Nagar,3565.0,4,3,255.0,4
